Binomial.1.2,k_medoid_herbivore,Mass.Method,Mass.Source,Mass.Comparison,Mass.Comparison.Source,Browsing.Grazing.Method,Browsing.Grazing.Source,Browsing.Grazing.Notes,Fermentation.Type.Method,Fermentation.Type.Source,Fermentation.Type.Notes,Substrate.Source,Substrate.Notes,Food.Handling,Food.Handling.Notes,Food.Handling.Source,Foot.Type.Coarse,Foot.Type.Notes,Foot.Type.Source,Diet.Seed,Diet.Fruit,Diet.Nectar,Diet.Root,Herd.Size,Herd.Size.Notes,Herd.Size.Source,Digging.Rooting,Digging.Rooting.Methods,Digging.Rooting.Notes,Digging.Rooting.Source,Other.Notes
Metridiochoerus_compactus,yes,Reported,Ecological Archives E084-094 (2003),NA,NA,Estimated Isotopes (C13) Species,"Lazagabaster, I. A., Souron, A., Rowan, J., Robinson, J. R., Campisano, C. J., & Reed, K. E. (2018). Fossil Suidae (Mammalia, Artiodactyla) from Lee Adoyta, Ledi-Geraru, lower Awash Valley, Ethiopia: Implications for late Pliocene turnover and paleoecology. Palaeogeography, Palaeoclimatology, Palaeoecology, 504, 186â€“200. https://doi.org/10.1016/j.palaeo.2018.05.029",NA,Reported Family,"2, Meijaard, E., Oliver, W. L. R., & d’Huart, J. P. (2011). Suidae. Handbook of the mammals of the world, 2, 248-291.",NA,"1, 104",NA,Mouth,,NA,hoofed,2-toed unguligrade,Reported morphology Family,0,0,0,0,NA,NA,NA,,,,,NA
Mixotoxodon_larensis,yes,Reported,Ecological Archives E084-094 (2003),NA,NA,Estimated Crandiodental + Isotopes (C13) Species,"MacFadden, B. J., & Shockey, B. J. (1997). Ancient feeding ecology and niche differentiation of Pleistocene mammalian herbivores from Tarija, Bolivia: Morphological and isotopic evidence. Paleobiology, 23(1), 77â€“100. https://doi.org/10.1017/S0094837300016651; ï»¿MacFadden, B. J. (2005). Diet and habitat of toxodont megaherbivores (Mammalia, Notoungulata) from the late Quaternary of South and Central America. Quaternary Research, 64(2), 113â€“124. https://doi.org/10.1016/J.YQRES.2005.05.003",NA,Inferred from morphology - locking knees suggest feeding style akin to rhinos or horses,Shockey 2001,"Smith et al. 2010 and 2016 claim, without a source, that this group were foregut fermenters. However, available morphological evidence indicates nonruminant bulk fermentation, which at this body size is likely hindgut colon",Shockey 2001,"Potentially aquatic hippo-like habits? There is debate. Also, occurrence in rainforest and open grassland",Mouth,,Vizcaino et al. 2009,soft,"Rhino/tapir like foot, probably supported by thick pad. Functionally digitigrade",Shockey 2001,NA,NA,NA,NA,NA,NA,NA,,,,,"the outer borders of the symphysis in the lower jaw don't diverge anteriorly, and the incisor form a semicircular structure that protrude less than the incisors of Toxodon; the snout was cylindrical, instead of the broad hippo-like muzzle of Toxodon. The straight snout and the narrow lower incisors closely packed, suggest that this animal had a different feeding strategy compared to their southern relative, although the teeth of both genera was adapted to deal with abrasive food."
Morenelaphus_brachyceros,yes,Reported,Ecological Archives E084-094 (2003),NA,NA,Estimated Dental wear (microwear) Genus,"Rotti, A., Mothe, D., dos Santos Avilla, L., & Semprebon, G. M. (2018). Diet reconstruction for an extinct deer (Cervidae: Cetartiodactyla) from the Quaternary of South America. Palaeogeography, Palaeoclimatology, Palaeoecology, 497, 244â€“252. https://doi.org/10.1016/J.PALAEO.2018.02.026",Genus-level results only. Mixed feeder on the grazing end of the spectrum,Reported Family,extrapolated based on extant relatives,NA,"1, 104",NA,Mouth,,NA,hoofed,2-toed unguligrade,Reported morphology Family,NA,NA,NA,NA,NA,NA,NA,,,,,NA
Morenelaphus_lujanensis,yes,Reported,Ecological Archives E084-094 (2003),NA,NA,Estimated Dental wear (microwear) Genus,"Rotti, A., MothÃ©, D., dos Santos Avilla, L., & Semprebon, G. M. (2018). Diet reconstruction for an extinct deer (Cervidae: Cetartiodactyla) from the Quaternary of South America. Palaeogeography, Palaeoclimatology, Palaeoecology, 497, 244â€“252. https://doi.org/10.1016/J.PALAEO.2018.02.026",Genus-level results only. Mixed feeder on the grazing end of the spectrum,Reported Family,extrapolated based on extant relatives,NA,"1, 104",NA,Mouth,,NA,hoofed,2-toed unguligrade,Reported morphology Family,NA,NA,NA,NA,NA,NA,NA,,,,,NA
Moschus_chrysogaster,yes,Reported,"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",NA,NA,Estimated,1,NA,Reported Family,2,NA,"1, 104",NA,Mouth,,NA,hoofed,2-toed unguligrade,Kubo et al. 2019,3,0,0,0,Solitary/pairs,NA,1,,,,,NA
Moschus_cupreus,yes,Reported,"Wilson DE, Mittermeier RA. Handbook of the Mammals of the World - Volume 2 (2011)",NA,NA,Estimated,1,Assumed similar to M. leucogaster,Reported Family,2,NA,"1, 104",NA,Mouth,,NA,hoofed,2-toed unguligrade,Reported morphology Genus,0,0,0,0,Solitary/pairs,handbook of the mammals (source 1) of the world assumes it is similar to M. leucogaster,Extrapolated Proxy,,,,,NA
Moschus_fuscus,yes,Reported,"Wilson DE, Mittermeier RA. Handbook of the Mammals of the World - Volume 2 (2011)",NA,NA,Estimated,1,Uncertain. Little information available,Reported Family,2,NA,"1, 104",NA,Mouth,,NA,hoofed,2-toed unguligrade,Kubo et al. 2019,0,0,0,0,Solitary/pairs,NA,extrapolated.genus.mode,,,,,NA
Moschus_leucogaster,yes,Reported,"Wilson DE, Mittermeier RA. Handbook of the Mammals of the World - Volume 2 (2011)",NA,NA,Estimated,1,NA,Reported Family,2,NA,"1, 104",NA,Mouth,,NA,hoofed,2-toed unguligrade,Reported morphology Genus,0,0,0,0,Solitary/pairs,NA,1,,,,,NA
Moschus_moschiferus,yes,Reported,"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",NA,NA,Estimated,1,NA,Reported Family,2,NA,"1, 104",NA,Mouth,,NA,hoofed,2-toed unguligrade,Kubo et al. 2019,0,0,0,0,Solitary/pairs,NA,1,,,,,NA
Muknalia_minima,yes,Reported,"Stinnesbeck, S. R., et al. 2017. A new fossil peccary from the Pleistocene-Holocene boundary of the eastern Yucatan Peninsula, Mexico. Journal of South American Earth Sciences 77:341-349.",NA,NA,Imputed,No data found,NA,Reported Family,extrapolated based on extant relatives,NA,"1, 104",Inferred,Mouth,,NA,hoofed,2-toed unguligrade,Reported morphology Family,NA,NA,NA,NA,NA,NA,NA,,,,,NA
Muntiacus_atherodes,yes,Reported,"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",NA,NA,Estimated,1,"I suspect the grazing to be a minor fraction of the diet. However, as the text does not differentiate we assign it to be a primary diet",Reported Family,2,NA,"1, 104",NA,Mouth,,NA,hoofed,2-toed unguligrade,Reported morphology Genus,3,3,0,0,Solitary/pairs,NA,1,,,,,NA
Muntiacus_crinifrons,yes,Reported,"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",NA,NA,Estimated,"1,24",NA,Reported Family,2,NA,"1, 104",NA,Mouth,,NA,hoofed,2-toed unguligrade,Kubo et al. 2019,0,3,0,0,Solitary/pairs,NA,1,,,,,NA
Muntiacus_feae,yes,Reported,"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",NA,NA,Estimated,1,NA,Reported Family,2,NA,"1, 104",NA,Mouth,,NA,hoofed,2-toed unguligrade,Kubo et al. 2019,0,3,0,0,Solitary/pairs,"handbook of mammals of the world says the species is virtually unstudied, but they suspect it is solitary",1,,,,,NA
Muntiacus_gongshanensis,yes,Reported,"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",NA,NA,Estimated,1,Uncertain. No information available,Reported Family,2,NA,"1, 104",NA,Mouth,,NA,hoofed,2-toed unguligrade,Kubo et al. 2019,0,3,0,0,Solitary/pairs,NA,1,,,,,NA
Muntiacus_montanus,yes,Imputed,PHYLACINE 1.2,NA,NA,Imputed,NA,"This species was seen as subspecies of M. muntjak, so we use this species as a proxy",Reported Family,2,NA,"1, 104",NA,Mouth,,NA,hoofed,2-toed unguligrade,Reported morphology Genus,0,3,0,0,Solitary/pairs,Source sees this species as subspecies of of M. munjtak. We assume herd size is similar to M. muntjak,1,,,,,NA
Muntiacus_muntjak,yes,Reported,"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",NA,NA,Estimated,1,NA,Reported Family,2,NA,"1, 104",NA,Mouth,,NA,hoofed,2-toed unguligrade,Kubo et al. 2019,0,3,0,0,Solitary/pairs,NA,1,,,,,NA
Muntiacus_putaoensis,yes,Reported,"Wilson DE, Mittermeier RA. Handbook of the Mammals of the World - Volume 2 (2011)",NA,NA,Estimated,1,NA,Reported Family,2,NA,"1, 104",NA,Mouth,,NA,hoofed,2-toed unguligrade,Reported morphology Genus,0,3,0,0,Solitary/pairs,NA,extrapolated.genus.mode,,,,,NA
Muntiacus_reevesi,yes,Reported,"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",NA,NA,Estimated,1,NA,Reported Family,2,NA,"1, 104",NA,Mouth,,NA,hoofed,2-toed unguligrade,Kubo et al. 2019,0,3,0,0,Solitary/pairs,NA,1,,,,,NA
Muntiacus_rooseveltorum,yes,Assumed isometric based on shoulder height,"Wilson DE, Mittermeier RA. Handbook of the Mammals of the World - Volume 2 (2011)",Muntiacus_truongsonensis,NA,Estimated,1,NA,Reported Family,2,NA,"1, 104",NA,Mouth,,NA,hoofed,2-toed unguligrade,Kubo et al. 2019,0,3,0,0,Solitary/pairs,NA,extrapolated.genus.mode,,,,,NA
Muntiacus_truongsonensis,yes,Reported,"Wilson DE, Mittermeier RA. Handbook of the Mammals of the World - Volume 2 (2011)",NA,NA,Estimated,1,NA,Reported Family,2,NA,"1, 104",NA,Mouth,,NA,hoofed,2-toed unguligrade,Reported morphology Genus,0,3,0,0,Solitary/pairs,NA,extrapolated.genus.mode,,,,,NA
Muntiacus_vaginalis,yes,Imputed,PHYLACINE 1.2,NA,NA,Imputed,NA,"This species was seen as subspecies of M. muntjak, so we use this species as a proxy",Reported Family,2,NA,"1, 104",NA,Mouth,,NA,hoofed,2-toed unguligrade,Reported morphology Genus,3,3,0,0,Solitary/pairs,Source sees this species as subspecies of of M. munjtak. We assume herd size is similar to M. muntjak,1,,,,,NA
Muntiacus_vuquangensis,yes,Reported,"Wilson DE, Mittermeier RA. Handbook of the Mammals of the World - Volume 2 (2011)",NA,NA,Estimated,1,NA,Reported Family,2,NA,"1, 104",NA,Mouth,,NA,hoofed,2-toed unguligrade,Kubo et al. 2019,0,3,0,0,Solitary/pairs,"handbook of mammals of the world says the species is virtually unstudied, but they suspect it is solitary",1,,,,,NA
Mylodon_darwinii,yes,Reported,Bulletin of the Florida Museum of Natural History 45: 313-333 (2005),NA,NA,Reported Observed Species,"Moore, D. M. (n.d.). Post-glacial vegetation in the South Patagonian territory of the giant ground sloth, My lodon, 77, 1â€“7. Retrieved from http://onlinelibrary.wiley.com/store/10.1111/j.1095-8339.1978.tb01398.x/asset/j.1095-8339.1978.tb01398.x.pdf?v=1&t=jdlgfm7i&s=e8fa17115801924b2083138ce00c5f53b0d046d1",Estimate based on Coprolites,Expert Suborder (Sloths),Mammoths and mylodonts: Exotic species from two different continents in North American Pleistocene faunas,NA,"Recent Advances on Variability, Morpho-Functional Adaptations, Dental Terminology, and Evolution of Sloths",NA,Prehensile lip,,Bargo et al. 2005. Journal of Morphology,soft,"Some taxa may have been bipedal, not quantified","Naish, D. August 30, 2012. The anatomy of sloths. Tetrapod zoology. Scientific American. Accessed February 3, 2019",0,0,0,0,NA,NA,NA,Digging/burrowing,Morphology,,Pujos et al. 2012,NA
Mylohyus_nasutus,yes,Reported,Ecological Archives E084-094 (2003),NA,NA,Estimated Isotopes (C13) Genus,"Koch, P. L., & Barnosky, A. D. (2006). Late Quaternary Extinctions: State of the Debate. Annual Review of Ecology, Evolution, and Systematics, 37(1), 215â€“250. https://doi.org/10.1146/annurev.ecolsys.34.011802.132415",NA,Reported Family,extrapolated based on extant relatives,NA,"1, 104",NA,Mouth,,NA,hoofed,2-toed unguligrade,Reported morphology Family,0,0,0,0,NA,NA,NA,,,,,NA
Myotragus_balearicus,yes,Reported,Philosophical Transactions fo the Royal Society of London Series B 366: 2564-2576 (2011),NA,NA,Estimated Observed Species,"ALCOVER, J. A., PEREZ-OBIOL, R., YLL, E.-I., & BOVER, P. (1999). The diet of Myotragus balearicus Bate 1909 (Artiodactyla: Caprinae), an extinct bovid from the Balearic Islands: evidence from coprolites. Biological Journal of the Linnean Society, 66(1), 57â€“74. https://doi.org/10.1111/j.1095-8312.1999.tb01917.x",coprolites,Reported Family,extrapolated based on extant relatives,NA,"1, 104",Most likely foraged on steep cliffs,Mouth,,NA,hoofed,two-toed unguligrade,Reported morphology Family,NA,NA,NA,NA,NA,NA,NA,,,,,"Very strange animal - eyes pointed forward, teeth unusual and incisors did not stop growing (like a rodent), body could start and stop growth, much like a crocodile (Köhler, M., and Moyà-Sola, S, (2009), ‘Physiological and life history strategies of a fossil large mammal in a resource-limited environment’, PNAS. 106 (48) 20354-58)"
Naemorhedus_baileyi,yes,Reported,"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",NA,NA,Estimated,1,NA,Reported Family,2,NA,"1, 104",NA,Mouth,,NA,hoofed,two-toed unguligrade,Kubo et al. 2019,1,0,0,1,Gregarious,NA,1,,,,,NA
Naemorhedus_caudatus,yes,Reported,"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",NA,NA,Estimated,1,NA,Reported Family,2,NA,"1, 104",NA,Mouth,,NA,hoofed,two-toed unguligrade,Kubo et al. 2019,3,2,0,0,Gregarious,NA,1,,,,,NA
Naemorhedus_goral,yes,Reported,"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",NA,NA,Estimated,1,NA,Reported Family,2,NA,"1, 104",NA,Mouth,,NA,hoofed,two-toed unguligrade,Kubo et al. 2019,3,3,0,0,Gregarious,NA,1,,,,,NA
Naemorhedus_griseus,yes,Reported,"Wilson DE, Mittermeier RA. Handbook of the Mammals of the World - Volume 2 (2011)",NA,NA,Estimated,1,NA,Reported Family,2,NA,"1, 104",NA,Mouth,,NA,hoofed,two-toed unguligrade,Reported morphology Genus,3,3,0,0,Gregarious,NA,1,,,,,NA
Nanger_dama,yes,Reported,"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",NA,NA,Estimated,"1, 11",NA,Reported Family,2,NA,"1, 104",NA,Mouth,,NA,hoofed,two-toed unguligrade,Kubo et al. 2019,0,0,0,0,Gregarious,NA,11,,,,,NA
Nanger_granti,yes,Reported,"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",NA,NA,Estimated,1,NA,Reported Family,2,NA,"1, 104",NA,Mouth,,NA,hoofed,two-toed unguligrade,Kubo et al. 2019,0,0,0,0,Gregarious,NA,11,,,,,NA
Nanger_soemmerringii,yes,Reported,"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",NA,NA,Estimated,1,NA,Reported Family,2,NA,"1, 104",NA,Mouth,,NA,hoofed,two-toed unguligrade,Kubo et al. 2019,0,0,0,0,Gregarious,NA,11,,,,,NA
Navahoceros_fricki,yes,Imputed,PHYLACINE 1.2,NA,NA,Estimated Expert Species,"Smith, F. A., Smith, R. E. E., Lyons, S. K., & Payne, J. L. (2018). Body size downgrading of mammals over the late Quaternary. Science, 360(6386), 310-313.",NA,Reported Family,extrapolated based on extant relatives,NA,"1, 104",NA,Mouth,,NA,hoofed,2-toed unguligrade,Reported morphology Family,NA,NA,NA,NA,NA,NA,NA,,,,,NA
Neochoerus_aesopi,yes,Reported,Ecological Archives E084-094 (2003),NA,NA,Estimated Expert Species,"Smith, F. A., Smith, R. E. E., Lyons, S. K., & Payne, J. L. (2018). Body size downgrading of mammals over the late Quaternary. Science, 360(6386), 310-313.",,Reported Order,extrapolated based on extant relatives,"we included all rodents, however Hume (2002) only mentions 3 subOrder.1.2s, however, he does not specify which ones are not caecum fermenters",MacFadden and Shockey 1997,Probably semi-aquatic,mouth/tongue,,NA,soft,,Reported morphology family,NA,NA,NA,NA,NA,NA,NA,,,,,NA
Neocnus_comes,yes,Reported,Philosophical Transactions fo the Royal Society of London Series B 366: 2564-2576 (2011),NA,NA,Estimated Craniodental Genus,"McAfee, R. K. (2011). Feeding mechanics and dietary implications in the fossil sloth Neocnus (Mammalia: Xenarthra: Megalonychidae) from haiti. Journal of Morphology, 272(10), 1204â€“1216. https://doi.org/10.1002/jmor.10976",Diet assumed very similar to diet of Bradypus spp,Expert Suborder (Sloths),Mammoths and mylodonts: Exotic species from two different continents in North American Pleistocene faunas,NA,Inferring lifestyle and locomotor habits of extinct sloths through scapula morphology and implications for convergent evolution in extant sloths,NA,NA,,NA,soft,"Some taxa may have been bipedal, not quantified","Naish, D. August 30, 2012. The anatomy of sloths. Tetrapod zoology. Scientific American. Accessed February 3, 2019",1,1,0,0,NA,NA,NA,absent,Morphology,,Pujos et al. 2012,NA
Neocnus_dousman,yes,Reported,Philosophical Transactions fo the Royal Society of London Series B 366: 2564-2576 (2011),NA,NA,Estimated Craniodental Genus,"McAfee, R. K. (2011). Feeding mechanics and dietary implications in the fossil sloth Neocnus (Mammalia: Xenarthra: Megalonychidae) from haiti. Journal of Morphology, 272(10), 1204â€“1216. https://doi.org/10.1002/jmor.10976",Diet assumed very similar to diet of Bradypus spp,Expert Suborder (Sloths),Mammoths and mylodonts: Exotic species from two different continents in North American Pleistocene faunas,NA,"Recent Advances on Variability, Morpho-Functional Adaptations, Dental Terminology, and Evolution of Sloths",NA,NA,,NA,soft,"Some taxa may have been bipedal, not quantified","Naish, D. August 30, 2012. The anatomy of sloths. Tetrapod zoology. Scientific American. Accessed February 3, 2019",1,1,0,0,NA,NA,NA,absent,Morphology,,Pujos et al. 2012,NA
Neolicaphrium_recens,yes,Estimated based on equation from M1 length,Journal of Vertebrate Paleontology 31: 193-201 (2011),NA,NA,Estimated Isotopes (C13) Species,"Morosi, E., & Ubilla, M. (2017). Dietary and palaeoenvironmental inferences in Neolicaphrium recens Frenguelli, 1921 (Litopterna, Proterotheriidae) using carbon and oxygen stable isotopes (Late Pleistocene; Uruguay). Historical Biology, 1â€“7.",C13 + hypsodonty,Inferred from morphology - locking knees suggest feeding style akin to rhinos or horses,Shockey 2001,"Smith et al. 2010 and 2016 claim, without a source, that this group were foregut fermenters. However, available morphological evidence indicates nonruminant bulk fermentation, which at this body size is likely hindgut colon",Morosi and Ubilla 2017,Open forest environments,Mouth,,inferred from Morosi and Ubilla 2017,hoofed,Monodactyl hooves,Morosi and Ubilla 2017,NA,3,NA,NA,NA,NA,NA,,,,,NA
Neosclerocalyptus_paskoenis,yes,Reported,Ecological Archives E084-094 (2003),NA,NA,Estimated Isotopes (C13) Genus,"de Melo Franca, L., de Asevedo, L., Dantas, M. A. T., Bocchiglieri, A., Avilla, L. dos S., Lopes, R. P., & da Silva, J. L. L. (2015). Review of feeding ecology data of Late Pleistocene mammalian herbivores from South America and discussions on niche differentiation. Earth-Science Reviews, 140, 158â€“165. https://doi.org/10.1016/J.EARSCIREV.2014.10.006","Strong indication of grazing preference, but a mixed feeder in closed canopy environments; data only given for genus. Reported as Sclerocalyptus",Inferred: methods unclear but is a likely possibility,Smith et al. 2010,"The extant relatives, armadillos, are insectivores and have simple sac stomachs. Some have suggested the same for glyptodonts (Bocherens et al. 2017), but how they could sustain their metabolism as herbivores without fermentation seems dubious. Bocherens et al. 2017 found that their isotopic values (for Doedicurus spp, Glyptodon spp, Glyptotherium) suggested either aquatic habitat or a high fermentation rate. Vizcaino et al. 2011 suggested that given the estimated low metabolic rate of Xenarthans but the relatively complex teeth of cingulates compared to sloths, that sloths have higher fermentation in digestive tract than glyptodonts. These animals were likely hindgut and likely hingut colon, since there are no large mammals that use caecums",Inferred from absence of evidence,NA,"Unique, unknown, proboscis?",,Fernicola et al. 2012,soft,,Superina and Loughry 2011,NA,NA,NA,NA,NA,NA,NA,,,,,NA
Neuryurus_trabeculatus,yes,Reported,Ameghiniana 48: 305-319 (2011),NA,NA,Estimated Craniodental Genus,"Vizcaino, S. F., Cassini, G. H., Fernicola, J. C., & Bargo, M. S. (2011). Evaluating habitats and feeding habits through ecomorphological features in glyptodonts (Mammalia, Xenarthra). Ameghiniana, 48(3), 305-319.","""""""""""""""""bulk feeders in relatively open environments""""""""""""""""; note that this craniodental material is listed as cf. Neuryurus",Inferred: methods unclear but is a likely possibility,Smith et al. 2010,"The extant relatives, armadillos, are insectivores and have simple sac stomachs. Some have suggested the same for glyptodonts (Bocherens et al. 2017), but how they could sustain their metabolism as herbivores without fermentation seems dubious. Bocherens et al. 2017 found that their isotopic values (for Doedicurus spp, Glyptodon spp, Glyptotherium) suggested either aquatic habitat or a high fermentation rate. Vizcaino et al. 2011 suggested that given the estimated low metabolic rate of Xenarthans but the relatively complex teeth of cingulates compared to sloths, that sloths have higher fermentation in digestive tract than glyptodonts. These animals were likely hindgut and likely hingut colon, since there are no large mammals that use caecums",Inferred from absence of evidence,NA,Mouth,,NA,soft,,Superina and Loughry 2011,NA,NA,NA,NA,NA,NA,NA,,,,,NA
Nilgiritragus_hylocrius,yes,Reported,"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",NA,NA,Estimated,"1,32 ",NA,Reported Family,2,NA,"1, 104",NA,Mouth,,NA,hoofed,two-toed unguligrade,Reported morphology Family,0,0,0,0,Gregarious,NA,1,,,,,NA
Nothrotheriops_shastensis,yes,Reported,"Davis, M. 2017. What North America‰Û¡Ì_å»s skeleton crew of megafauna tells us about community disassembly. Proceedings of the Royal Socieity B 284:20162116.",NA,NA,Reported Observed Species,"Hansen, R. M. (1978). Shasta ground sloth food habits, Rampart Cave, Arizona. Hansen Source: Paleobiology Paleobiology, 4(43), 302â€“319. Retrieved from http://www.jstor.org/stable/2400207",Estimate based on Coprolites,Expert Suborder (Sloths),Mammoths and mylodonts: Exotic species from two different continents in North American Pleistocene faunas,NA,Inferring lifestyle and locomotor habits of extinct sloths through scapula morphology and implications for convergent evolution in extant sloths,NA,NA,,NA,soft,"Some taxa may have been bipedal, not quantified","Naish, D. August 30, 2012. The anatomy of sloths. Tetrapod zoology. Scientific American. Accessed February 3, 2019",2,2,0,0,NA,NA,NA,absent,Adaptations absent,,Pujos et al. 2012,NA
Nothrotherium_maquinense,yes,Reported,Ecological Archives E084-094 (2003),NA,NA,Estimated Dental wear (mesowear) Species,"Saarinen, J., & Karme, A. (2017). Tooth wear and diets of extant and fossil xenarthrans (Mammalia, Xenarthra) â€“ Applying a new mesowear approach. Palaeogeography, Palaeoclimatology, Palaeoecology, 476, 42â€“54. https://doi.org/10.1016/j.palaeo.2017.03.027",,Expert Suborder (Sloths),Mammoths and mylodonts: Exotic species from two different continents in North American Pleistocene faunas,NA,"Recent Advances on Variability, Morpho-Functional Adaptations, Dental Terminology, and Evolution of Sloths",NA,NA,,NA,soft,"Some taxa may have been bipedal, not quantified","Naish, D. August 30, 2012. The anatomy of sloths. Tetrapod zoology. Scientific American. Accessed February 3, 2019",NA,NA,NA,NA,NA,NA,NA,absent,Adaptations absent,,Pujos et al. 2012,NA
Notiomastodon_platensis,yes,Reported,Ecological Archives E084-094 (2003),NA,NA,Estimated Isotopes (C13) + Estimated Observed + Dental wear (microwear) Species,"Dantas et al. 2013 Quaternary Research. Asevedo, L., Winck, G. R., MothÃ©, D., & Avilla, L. S. (2012). Ancient diet of the Pleistocene gomphothere Notiomastodon platensis (Mammalia, Proboscidea, Gomphotheriidae) from lowland mid-latitudes of South America: Stereomicrowear and tooth calculus analyses combined. Quaternary International, 255, 42â€“52. https://doi.org/10.1016/j.quaint.2011.08.037","de Melo Franca et al. 2014 described as primarily a grazer (n = 4), whereas Asevedo et al. (2012) described as pure mixed feeder (3, 3) (n = 21)",Reported Family,extrapolated based on extant relatives,NA,de Melo Franca et al. 2014,NA,Proboscis,,NA,soft,,Reported morphology Order,NA,NA,0,0,Gregarious,Aramayo et al. (2015) attributed tracks (based on size) to N. platensis. Tracks showed gregarious herding behavior,Aramayo et al. (2015),,,,,NA
Odocoileus_hemionus,yes,Reported,"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",NA,NA,Estimated,1,NA,Reported Family,2,NA,"1, 104",NA,Mouth,,NA,hoofed,2-toed unguligrade,Kubo et al. 2019,0,0,0,0,Gregarious,NA,1,,,,,NA
Odocoileus_virginianus,yes,Reported,"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",NA,NA,Estimated,1,NA,Reported Family,2,NA,"1, 104",NA,Mouth,,NA,hoofed,2-toed unguligrade,Kubo et al. 2019,3,3,0,0,Gregarious,NA,1,,,,,NA
Okapia_johnstoni,yes,Reported,"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",NA,NA,Estimated,1,NA,Reported Family,2,NA,"1, 104",NA,Mouth,,NA,hoofed,2-toed unguligrade,Kubo et al. 2019,2,2,0,0,Solitary/pairs,NA,11,,,,,NA
Oreamnos_americanus,yes,Reported,"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",NA,NA,Estimated,1,NA,Reported Family,2,NA,"1, 104",NA,Mouth,,NA,hoofed,two-toed unguligrade,Kubo et al. 2019,0,0,0,0,Gregarious,NA,1,,,,,NA
Oreamnos_harringtoni,yes,Reported,Ecological Archives E084-094 (2003),NA,NA,Estimated Observed Species,"Mead, J. I., O'Rourke, M. K., & Foppe, T. M. (1986). Dung and diet of the extinct Harrington's mountain goat (Oreamnos harringtoni). Journal of Mammalogy, 67(2), 284-293.",coprolites,Reported Family,extrapolated based on extant relatives,NA,"1, 104",NA,Mouth,,NA,hoofed,two-toed unguligrade,Reported morphology Genus,0,0,0,0,NA,NA,NA,,,,,NA
Oreotragus_oreotragus,yes,Reported,"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",NA,NA,Estimated,1,NA,Reported Family,2,NA,"1, 104",NA,Mouth,,NA,hoofed,two-toed unguligrade,Kubo et al. 2019,0,0,0,0,Solitary/pairs,NA,11,,,,,NA
Oryx_beisa,yes,Reported,"Wilson DE, Mittermeier RA. Handbook of the Mammals of the World - Volume 2 (2011)",NA,NA,Estimated,11,NA,Reported Family,2,NA,"1, 104",NA,Mouth,,NA,hoofed,two-toed unguligrade,Kubo et al. 2019,0,1,0,1,Gregarious,NA,11,,,,,NA
Oryx_dammah,yes,Reported,"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",NA,NA,Estimated,1,NA,Reported Family,2,NA,"1, 104",NA,Mouth,,NA,hoofed,two-toed unguligrade,Kubo et al. 2019,0,2,0,0,Mega-groups,NA,1,,,,,NA
